Creation,MergeTime,id,isPr,N. of Comments,Closed,N. Labels,author, labelStatus
1395133512,1395135648,2911,1,3,1,3,ojeda,16843991210
1395154115,1396285613,2912,1,39,1,15,venturia,11457439914
1395157279,1395239312,2913,1,5,1,4,mark-grimes,11457444010
1395157883,1395216794,2914,1,5,1,3,perrotta,11457444014
1395161279,1395387413,2915,1,4,1,3,dnikolop,11725879470
1395162679,1395168644,2916,1,3,1,19,dnash86,11456391338
1395163638,1395168620,2917,1,1,1,4,dnash86,11456391338
1395164140,1395689955,2918,1,5,1,4,dnash86,11456456878
1395164160,1395382486,2919,1,5,1,3,makortel,11456456942
1395170840,1395653597,2920,1,6,1,4,dnash86,11456719082
1395176386,1395690795,2921,0,4,1,0,fratnikov,11456719082
1395180262,1395180749,2922,1,1,1,6,wmtan,11456719082
1395194437,1395217537,2923,1,4,1,3,mdhildreth,11456719102
1395197460,1396524283,2924,1,23,1,6,rappoccio,16842205438
1395201351,1395689255,2925,1,6,1,4,fratnikov,16842205434
1395217742,1396948091,2926,1,8,1,6,ptraczyk,16842205370
1395219353,1395322442,2927,1,5,1,3,popovvp,16842205374
1395220514,1395428242,2928,1,5,1,12,ktf,11457505450
1395223512,1395387147,2929,1,7,1,3,ebouvier,11458554030
1395224174,1395224489,2930,1,4,1,3,deguio,11457505450
1395226891,1395232226,2931,1,4,1,3,deguio,11458554030
1395234921,1395394444,2932,1,5,1,4,lveldere,11458817198
1395236596,1395237249,2933,1,2,1,4,mark-grimes,11457768618
1395240129,1395298672,2934,1,4,1,3,vadler,12531510446
1395241138,1396329452,2935,1,5,1,5,lveldere,12531509422
1395241450,1395245924,2936,1,4,1,3,lgray,12531509422
1395254730,1395255267,2937,1,3,1,3,Dr15Jones,12799944874
1395258798,1395264353,2938,1,3,1,3,Dr15Jones,12799944874
1395263019,1395304473,2939,1,5,1,3,vadler,12799944878
1395268887,1395298641,2940,1,3,1,3,Dr15Jones,12799944874
