Creation,MergeTime,id,isPr,N. of Comments,Closed,N. Labels,author
1398161041,1398324650,3421,1,12,1,4,mtosi
1398163295,1398166147,3422,1,4,1,9,apfeiffer1
1398164389,1398243684,3423,1,7,1,4,Sam-Harper
1398164904,1398353263,3424,1,3,1,5,vandreev11
1398166144,1398417163,3425,1,2,1,5,dnash86
1398168850,1398171044,3426,1,1,1,6,dildick
1398169480,1398273013,3427,1,5,1,4,avartak
1398171357,1398273186,3428,1,5,1,4,yiiyama
1398171425,1398357904,3429,1,8,1,4,ghellwig
1398171562,1398779218,3430,1,8,1,5,ghellwig
1398171618,1399385967,3431,1,9,1,5,ghellwig
1398171645,1398416884,3432,1,7,1,8,dildick
1398181092,1398243659,3433,1,9,1,4,gartung
1398181701,1398247841,3434,1,10,1,5,fwyzard
1398181725,1398226769,3435,1,3,1,5,fwyzard
1398185391,1398324607,3436,1,5,1,4,Dr15Jones
1398187204,1398324584,3437,1,5,1,4,Dr15Jones
1398187759,1398244845,3438,1,3,1,4,yiiyama
1398188582,1398605015,3439,1,6,1,4,TaiSakuma
1398189513,1398257761,3440,1,5,1,4,Dr15Jones
1398192092,1398257692,3441,1,5,1,4,Dr15Jones
1398198144,1398199609,3442,1,2,1,4,srimanob
1398199524,1398250567,3443,1,6,1,4,srimanob
1398219532,1398231938,3444,1,5,1,6,mdhildreth
1398223211,1398254642,3445,1,6,1,4,Martin-Grunewald
1398231436,1398324552,3446,1,8,1,4,makortel
1398231879,1398667250,3447,1,8,1,7,dr4kan
1398234453,1399347511,3448,1,14,1,6,argiro
1398239502,1398247901,3449,1,4,1,6,degano
1398239560,1399014593,3450,1,31,1,8,ptraczyk
