Creation,MergeTime,id,isPr,N. of Comments,Closed,N. Labels,author
1397215753,1397656369,3301,1,4,1,5,sviret
1397216416,1397572299,3302,1,11,1,5,ktf
1397216453,1397732939,3303,1,11,1,4,makortel
1397220171,1397458930,3304,1,7,1,4,mdhildreth
1397220208,1397674061,3305,1,4,1,5,vandreev11
1397222955,1397458627,3306,1,6,1,4,gartung
1397227155,1397458316,3307,1,6,1,4,wddgit
1397233821,1397458358,3308,1,11,1,4,apfeiffer1
1397234029,1398273618,3309,1,3,1,5,ferencek
1397234444,1397710960,3310,1,4,1,5,ferencek
1397234486,1398273496,3311,1,12,1,5,ferencek
1397234874,1398157132,3312,1,3,1,7,fratnikov
1397242353,1397540928,3313,1,5,1,4,wddgit
1397243251,1397478201,3314,1,5,1,4,TaiSakuma
1397288417,1398226638,3315,1,5,1,5,venturia
1397294031,1398157202,3316,1,3,1,5,chrisneu
1397314584,1397478576,3317,1,7,1,4,VinInn
1397375166,1397375523,3318,1,1,1,0,apfeiffer1
1397394125,1397713960,3319,1,3,1,5,chrisneu
1397407735,1397468675,3320,1,10,1,4,mkirsano
1397424479,1397629643,3321,1,15,1,4,jstupak
1397453475,1397460270,3322,1,5,1,8,Martin-Grunewald
1397457370,1397629608,3323,1,5,1,4,Sam-Harper
1397457924,1397507305,3324,1,6,1,4,inugent
1397470032,1397629627,3325,1,5,1,4,dmitrijus
1397471273,1398245773,3326,1,16,1,12,thspeer
1397479763,1397732985,3327,1,21,1,4,ptcox
1397492335,1397629767,3328,1,4,1,4,mkirsano
1397499320,1397534863,3329,1,6,1,4,Sam-Harper
1397500920,1397534822,3330,1,6,1,4,ggovi
