Creation,Merge,id,isPr,N. of Comments,Closed,N. Labels,author
1384291731,1384506380,1441,1,7,1,3,gartung
1384328554,1384522308,1442,1,6,1,4,ktf
1384328933,1384525403,1443,1,5,1,4,ktf
1384329603,1384346145,1444,1,4,1,3,ktf
1384330515,1384364569,1445,1,3,1,3,nclopezo
1384336225,1384522265,1446,1,6,1,5,ktf
1384345478,1384508022,1447,1,5,1,3,nclopezo
1384347761,1384430284,1448,1,7,1,3,nclopezo
1384348298,1384410156,1449,1,4,1,4,rovere
1384349965,1384515222,1450,1,4,1,3,nclopezo
1384350597,1384782984,1451,1,2,1,3,davidlange6
1384366760,1384797102,1452,1,3,1,5,vadler
1384366839,1386320141,1453,1,20,1,4,vadler
1384369115,1384866102,1454,0,3,1,0,ktf
1384377045,1384513431,1455,1,4,1,3,Dr15Jones
1384378285,1384857467,1456,1,4,1,4,vciulli
1384381845,1384430322,1457,1,5,1,3,vciulli
1384384097,1384857440,1458,1,4,1,4,vciulli
1384384323,1384506353,1459,1,4,1,2,vciulli
1384397420,1384413258,1460,1,2,1,2,tahuang1991
1384417314,1384783006,1461,1,4,1,4,ianna
1384418542,1384430199,1462,1,6,1,3,lveldere
1384433590,1384507315,1463,1,4,1,3,Dr15Jones
1384435594,1384773347,1464,1,3,1,4,abdoulline
1384439837,1384783024,1465,1,2,1,3,boudoul
1384441642,1384443006,1466,1,3,1,3,perrotta
1384442746,1384507557,1467,1,4,1,3,rovere
1384444614,1384508420,1468,1,5,1,3,kknb1056
1384446050,1384508283,1469,1,4,1,3,gartung
1384455404,1384455691,1470,1,4,1,5,wmtan
