Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 
1734429600.0 1005.0 NA 204 153 0 0 NA NA NA 475 349 0 0 NA NA NA 382 191 60 74 NA NA NA 402 224 95 145 NA NA 
1734429600.0 101.0 163 NA NA NA NA NA NA 394 NA NA NA NA NA NA 527 NA NA NA NA NA NA 460 NA NA NA NA NA NA 
1734429600.0 1010.0 NA 78 99 0 NA NA NA NA 251 252 0 NA NA NA NA 114 156 122 NA NA NA NA 152 207 177 NA NA NA 
1734429600.0 102.0 165 NA NA NA NA NA NA 382 NA NA NA NA NA NA 482 NA NA NA NA NA NA 453 NA NA NA NA NA NA 
1734429600.0 1020.0 NA 82 73 0 81 NA NA NA 265 234 0 265 NA NA NA 143 129 42 145 NA NA NA 198 258 61 193 NA NA 
1734429600.0 10225.0 NA 508 759 0 183 NA NA NA 824 1192 0 360 NA NA NA 2373 2464 361 376 NA NA NA 1081 1704 374 403 NA NA 
1734429600.0 103.0 100 0 0 NA NA NA NA 174 0 0 NA NA NA NA 326 273 1156 NA NA NA NA 299 286 1348 NA NA NA NA 
1734429600.0 1040.1 NA 127 77 0 NA NA NA NA 316 221 0 NA NA NA NA 284 127 74 NA NA NA NA 351 169 126 NA NA NA 
1734429600.0 1041.0 NA 122 83 0 NA NA NA NA 303 235 0 NA NA NA NA 227 136 47 NA NA NA NA 508 223 89 NA NA NA 
1734429600.0 1042.0 NA 124 81 0 NA NA NA NA 312 231 0 NA NA NA NA 292 131 45 NA NA NA NA 428 164 65 NA NA NA 
1734429600.0 10424.0 NA 282 558 0 NA NA NA NA 507 845 0 NA NA NA NA 483 1548 362 NA NA NA NA 616 1379 378 NA NA NA 
1734429600.0 1046.0 NA 93 79 0 NA NA NA NA 278 234 0 NA NA NA NA 197 131 43 NA NA NA NA 494 179 80 NA NA NA 
1734429600.0 1047.0 NA 92 98 0 NA NA NA NA 278 258 0 NA NA NA NA 211 152 49 NA NA NA NA 577 167 93 NA NA NA 
1734429600.0 1048.0 NA 93 88 0 NA NA NA NA 272 244 0 NA NA NA NA 199 150 43 NA NA NA NA 234 188 101 NA NA NA 
1734429600.0 1049.0 NA 104 0 NA NA NA NA NA 283 0 NA NA NA NA NA 898 122 NA NA NA NA NA 1278 154 NA NA NA NA 
1734429600.0 105.0 123 197 113 NA NA NA NA 248 375 260 NA NA NA NA 816 437 329 NA NA NA NA 480 508 359 NA NA NA NA 
1734429600.0 1052.0 NA 222 152 0 NA NA NA NA 465 341 0 NA NA NA NA 386 195 45 NA NA NA NA 415 284 118 NA NA NA 
1734429600.0 1052.1 NA 138 0 NA NA NA NA NA 353 0 NA NA NA NA NA 178 44 NA NA NA NA NA 231 71 NA NA NA NA 
1734429600.0 106.0 99 0 0 NA NA NA NA 181 0 0 NA NA NA NA 324 265 1141 NA NA NA NA 293 280 1233 NA NA NA NA 
1734429600.0 10804.31 NA 323 0 NA NA NA NA NA 534 0 NA NA NA NA NA 1212 1053 NA NA NA NA NA 738 1191 NA NA NA NA 
1734429600.0 10805.31 NA 309 0 NA NA NA NA NA 528 0 NA NA NA NA NA 1215 1104 NA NA NA NA NA 721 1496 NA NA NA NA 
1734429600.0 110.0 104 195 388 NA NA NA NA 187 368 635 NA NA NA NA 355 416 1273 NA NA NA NA 359 641 1259 NA NA NA NA 
1734429600.0 11024.0 NA 604 882 0 186 NA NA NA 929 1344 0 369 NA NA NA 3065 3272 407 414 NA NA NA 1329 2071 608 481 NA NA 
1734429600.0 11024.15 NA 560 907 0 207 NA NA NA 935 1371 0 394 NA NA NA 3155 3304 397 591 NA NA NA 1701 2055 414 570 NA NA 
