Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 
1728378000.0 106.0 133 0 0 NA NA NA NA 307 0 0 NA NA NA NA 512 127 1291 NA NA NA NA 740 176 1974 NA NA NA NA 
1728378000.0 120.0 139 183 327 NA NA NA NA 318 354 590 NA NA NA NA 498 310 1516 NA NA NA NA 747 398 2281 NA NA NA NA 
1728378000.0 128.0 136 182 311 NA NA NA NA 306 348 578 NA NA NA NA 479 310 1521 NA NA NA NA 715 386 2293 NA NA NA NA 
1728378000.0 136.901 NA 271 254 270 152 259 249 NA 492 478 452 310 489 463 NA 6584 1451 1142 357 688 1021 NA 9101 2701 2141 735 1424 1757 
1728378000.0 136.902 NA 276 250 261 151 257 250 NA 493 480 452 310 488 463 NA 5696 1401 1298 355 692 1010 NA 7783 2624 2408 666 1491 1793 
1728378000.0 136.903 NA 305 295 341 161 295 269 NA 535 522 537 322 533 473 NA 8353 4363 3627 747 1262 1628 NA 12239 7990 6069 1073 1871 2256 
1728378000.0 136.904 NA 306 286 323 157 291 268 NA 580 522 531 316 501 473 NA 7791 2696 2381 527 955 1273 NA 11576 5093 3995 974 1701 2145 
1728378000.0 2500.242 NA 182 NA NA NA NA NA NA 349 NA NA NA NA NA NA 1611 NA NA NA NA NA NA 1139 NA NA NA NA NA 
1728378000.0 4007.0 135 0 0 NA NA NA NA 305 0 0 NA NA NA NA 524 134 1347 NA NA NA NA 756 300 2064 NA NA NA NA 
1728378000.0 510.0 101 0 NA NA NA NA NA 247 0 NA NA NA NA NA 2444 154 NA NA NA NA NA 1729 242 NA NA NA NA NA 
